,age,balance,day,duration,campaign,pdays,previous
96,55,383,5,287,1,-1,0
97,60,81,5,101,1,-1,0
98,39,0,5,203,1,-1,0
99,46,229,5,197,1,-1,0
100,44,-674,5,257,1,-1,0
101,53,90,5,124,1,-1,0
102,52,128,5,229,1,-1,0
103,59,179,5,55,3,-1,0
104,27,0,5,400,1,-1,0
105,44,54,5,197,1,-1,0
106,47,151,5,190,1,-1,0
107,34,61,5,21,1,-1,0
108,59,30,5,514,1,-1,0
109,45,523,5,849,2,-1,0
110,29,31,5,194,1,-1,0
111,46,79,5,144,1,-1,0
112,56,-34,5,212,2,-1,0
113,36,448,5,286,1,-1,0
114,59,81,5,107,1,-1,0
115,44,144,5,247,2,-1,0
116,41,351,5,518,1,-1,0
117,33,-67,5,364,1,-1,0
118,59,262,5,178,1,-1,0
119,57,0,5,98,1,-1,0
120,56,56,5,439,1,-1,0
121,51,26,5,79,1,-1,0
122,34,3,5,120,3,-1,0
123,43,41,5,127,2,-1,0
124,52,7,5,175,1,-1,0
125,33,105,5,262,2,-1,0
126,29,818,5,61,1,-1,0
127,34,-16,5,78,1,-1,0
128,31,0,5,143,1,-1,0
129,55,2476,5,579,1,-1,0
130,55,1185,5,677,1,-1,0
131,32,217,5,345,1,-1,0
132,38,1685,5,185,1,-1,0
133,55,802,5,100,2,-1,0
134,28,0,5,125,2,-1,0
135,23,94,5,193,1,-1,0
136,32,0,5,136,1,-1,0
137,43,0,5,73,1,-1,0
138,32,517,5,528,1,-1,0
139,46,265,5,541,1,-1,0
140,53,947,5,163,1,-1,0
141,34,3,5,301,1,-1,0
142,57,42,5,46,1,-1,0
143,37,37,5,204,1,-1,0
144,59,57,5,98,1,-1,0
145,33,22,5,71,1,-1,0
146,56,8,5,157,2,-1,0
147,48,293,5,243,1,-1,0
148,43,3,5,186,2,-1,0
149,54,348,5,579,2,-1,0
150,51,-19,5,163,2,-1,0
151,26,0,5,610,2,-1,0
152,40,-4,5,2033,1,-1,0
153,39,18,5,85,1,-1,0
154,50,139,5,114,2,-1,0
155,41,0,5,114,2,-1,0
156,51,1883,5,57,1,-1,0
157,60,216,5,238,1,-1,0
158,52,782,5,93,3,-1,0
159,48,904,5,128,2,-1,0
160,48,1705,5,107,1,-1,0
161,39,47,5,181,1,-1,0
162,47,176,5,303,2,-1,0
163,40,1225,5,558,5,-1,0
164,45,86,5,270,1,-1,0
165,26,82,5,228,1,-1,0
166,52,271,5,99,1,-1,0
167,54,1378,5,240,1,-1,0
168,54,184,5,673,2,-1,0
169,50,0,5,233,3,-1,0
170,35,0,5,1056,1,-1,0
171,44,1357,5,250,1,-1,0
172,53,19,5,252,1,-1,0
173,35,434,5,138,1,-1,0
174,60,92,5,130,1,-1,0
175,53,1151,5,412,1,-1,0
176,48,41,5,179,2,-1,0
177,34,51,5,19,2,-1,0
178,54,214,5,458,2,-1,0
179,51,1161,5,717,1,-1,0
180,31,37,5,313,1,-1,0
181,35,787,5,683,2,-1,0
182,35,59,5,1077,1,-1,0
183,38,253,5,416,1,-1,0
184,36,211,5,146,2,-1,0
185,58,235,5,167,1,-1,0
186,40,4384,5,315,1,-1,0
187,54,4080,5,140,1,-1,0
188,34,53,5,346,1,-1,0
189,31,0,5,562,1,-1,0
190,51,2127,5,172,1,-1,0
191,33,377,5,217,1,-1,0
192,55,73,5,142,2,-1,0
193,42,445,5,67,1,-1,0
194,34,243,5,291,1,-1,0
195,33,307,5,309,2,-1,0
196,38,155,5,248,1,-1,0
197,50,173,5,98,1,-1,0
198,43,400,5,256,1,-1,0
199,61,1428,5,82,2,-1,0
200,47,219,5,577,1,-1,0
201,48,7,5,286,1,-1,0
202,44,575,5,477,1,-1,0
203,35,298,5,611,2,-1,0
204,35,0,5,471,1,-1,0
205,50,5699,5,381,2,-1,0
206,41,176,5,42,1,-1,0
207,41,517,5,251,1,-1,0
208,39,257,5,408,1,-1,0
209,42,56,5,215,1,-1,0
210,38,-390,5,287,1,-1,0
211,53,330,5,216,2,-1,0
212,59,195,5,366,2,-1,0
213,36,301,5,210,1,-1,0
214,54,-41,5,288,1,-1,0
215,40,483,5,168,1,-1,0
216,47,28,5,338,2,-1,0
217,53,13,5,410,3,-1,0
218,46,965,5,177,1,-1,0
219,39,378,5,127,2,-1,0
220,40,219,5,357,1,-1,0
221,28,324,5,175,1,-1,0
222,35,-69,5,300,1,-1,0
223,55,0,5,136,1,-1,0
224,43,205,5,1419,1,-1,0
225,48,278,5,125,2,-1,0
226,58,1065,5,213,3,-1,0
227,33,34,5,27,1,-1,0
228,36,1033,5,238,2,-1,0
229,53,1467,5,124,1,-1,0
230,47,-12,5,18,1,-1,0
231,31,388,5,730,2,-1,0
232,57,294,5,746,2,-1,0
233,53,1827,5,121,1,-1,0
234,55,627,5,247,1,-1,0
235,45,25,5,40,1,-1,0
236,53,315,5,181,2,-1,0
237,37,0,5,79,1,-1,0
238,44,66,5,206,1,-1,0
239,49,-9,5,389,1,-1,0
240,46,349,5,127,1,-1,0
241,43,100,5,702,1,-1,0
242,38,0,5,151,1,-1,0
243,43,434,5,117,1,-1,0
244,49,3237,5,232,3,-1,0
245,42,275,5,408,2,-1,0
246,22,0,5,179,2,-1,0
247,40,207,5,39,1,-1,0
248,39,483,5,282,1,-1,0
249,51,2248,5,714,2,-1,0
250,49,428,5,50,1,-1,0
251,53,0,5,181,1,-1,0
252,34,0,5,142,1,-1,0
253,33,140,5,227,1,-1,0
254,50,297,5,119,1,-1,0
255,39,279,5,361,1,-1,0
256,59,901,5,73,3,-1,0
257,30,2573,5,67,2,-1,0
258,36,143,5,350,1,-1,0
259,40,475,5,332,2,-1,0
260,53,70,5,611,2,-1,0
261,34,318,5,113,2,-1,0
262,37,275,5,132,1,-1,0
263,42,742,5,58,3,-1,0
264,41,236,5,151,1,-1,0
265,30,25,5,89,2,-1,0
266,37,600,5,152,1,-1,0
267,39,-349,5,611,2,-1,0
268,41,183,5,110,2,-1,0
269,40,0,5,463,1,-1,0
270,42,0,5,562,2,-1,0
271,40,0,5,962,1,-1,0
272,57,1078,5,10,4,-1,0
273,56,155,5,118,3,-1,0
274,37,190,5,92,2,-1,0
275,59,319,5,143,3,-1,0
276,39,-185,5,189,3,-1,0
277,49,47,5,234,2,-1,0
278,38,570,5,75,2,-1,0
279,36,19,5,189,2,-1,0
280,50,61,5,621,3,-1,0
281,41,-62,5,55,2,-1,0
282,54,258,5,310,4,-1,0
283,58,76,5,156,2,-1,0
284,30,0,5,5,2,-1,0
285,33,352,5,225,2,-1,0
286,47,368,5,125,2,-1,0
287,50,339,5,2,3,-1,0
288,32,1331,5,286,2,-1,0
289,40,672,5,164,2,-1,0
290,37,58,5,98,2,-1,0
291,54,447,5,742,2,-1,0
292,24,423,5,226,3,-1,0
293,54,0,5,120,2,-1,0
294,34,19,5,362,4,-1,0
295,56,13,5,357,2,-1,0
296,31,3,5,200,2,-1,0
297,24,82,5,204,2,-1,0
298,42,28,5,126,3,-1,0
299,57,792,5,65,2,-1,0
300,42,408,5,107,2,-1,0
301,51,531,5,267,2,-1,0
302,57,211,5,248,2,-1,0
303,36,62,5,215,2,-1,0
304,53,257,5,209,2,-1,0
305,50,1234,5,205,2,-1,0
306,54,313,5,83,2,-1,0
307,55,89,5,106,3,-1,0
308,44,129,5,189,2,-1,0
309,43,0,5,105,2,-1,0
310,56,353,5,106,2,-1,0
311,54,851,5,108,2,-1,0
312,55,96,5,311,2,-1,0
313,37,398,5,214,2,-1,0
314,33,193,5,132,2,-1,0
315,46,-358,5,358,2,-1,0
316,36,539,5,453,2,-1,0
317,51,0,5,364,2,-1,0
318,40,0,5,136,2,-1,0
319,42,490,5,386,2,-1,0
320,51,0,5,173,2,-1,0
321,49,403,5,241,2,-1,0
322,48,161,5,224,3,-1,0
323,32,2558,5,148,2,-1,0
324,31,98,5,196,2,-1,0
325,55,115,5,111,4,-1,0
326,40,436,5,231,3,-1,0
327,47,831,5,316,3,-1,0
328,57,206,5,216,3,-1,0
329,41,290,5,240,2,-1,0
330,48,1,5,669,3,-1,0
331,42,57,5,425,2,-1,0
332,30,-457,5,143,2,-1,0
333,58,1387,5,174,5,-1,0
334,45,24598,5,313,3,-1,0
335,49,30,5,135,4,-1,0
336,42,1022,5,146,2,-1,0
337,53,56,5,152,2,-1,0
338,51,-2,5,402,3,-1,0
339,32,121,5,213,2,-1,0
340,41,842,5,144,3,-1,0
341,43,693,5,124,3,-1,0
342,40,-333,5,183,2,-1,0
343,50,1533,5,325,2,-1,0
344,34,46,5,39,4,-1,0
345,53,18,5,503,2,-1,0
346,45,44,5,95,4,-1,0
347,39,-100,5,680,2,-1,0
348,44,510,5,421,4,-1,0
349,55,685,5,174,3,-1,0
350,46,187,5,113,2,-1,0
351,45,66,5,808,2,-1,0
352,34,560,5,198,3,-1,0
353,36,0,5,195,2,-1,0
354,59,27,5,347,3,-1,0
355,31,12,5,208,2,-1,0
356,44,34,5,404,4,-1,0
357,33,1068,5,396,2,-1,0
358,40,211,5,216,4,-1,0
359,46,377,5,98,2,-1,0
360,48,263,5,350,2,-1,0
361,42,1263,6,114,2,-1,0
362,27,8,6,88,3,-1,0
363,48,126,6,379,2,-1,0
364,59,230,6,190,3,-1,0
365,46,841,6,158,1,-1,0
366,38,308,6,102,1,-1,0
367,43,1,6,306,1,-1,0
368,38,86,6,218,1,-1,0
369,23,157,6,54,1,-1,0
370,34,22,6,344,1,-1,0
371,38,46,6,195,1,-1,0
372,37,1293,6,652,1,-1,0
373,25,122,6,286,1,-1,0
374,48,131,6,189,1,-1,0
375,49,143,6,83,1,-1,0
376,38,393,6,184,2,-1,0
377,43,98,6,235,1,-1,0
378,33,0,6,290,1,-1,0
379,55,224,6,232,1,-1,0
380,38,757,6,133,1,-1,0
381,49,245,6,318,1,-1,0
382,40,8486,6,260,3,-1,0
383,43,350,6,437,1,-1,0
384,38,20,6,402,1,-1,0
385,58,1667,6,85,1,-1,0
386,57,345,6,125,1,-1,0
387,32,10,6,501,4,-1,0
388,56,830,6,1201,1,-1,0
389,58,29,6,253,1,-1,0
390,60,545,6,1030,1,-1,0
391,37,8730,6,149,1,-1,0
392,46,477,6,114,1,-1,0
393,27,4,6,243,1,-1,0
394,43,1205,6,769,2,-1,0
395,32,0,6,135,3,-1,0
396,40,263,6,231,1,-1,0
397,38,1,6,76,1,-1,0
398,34,283,6,199,1,-1,0
399,47,206,6,152,1,-1,0
400,42,17,6,124,1,-1,0
401,48,141,6,424,1,-1,0
402,29,16,6,43,1,-1,0
403,50,206,6,154,1,-1,0
404,52,7,6,203,2,-1,0
405,50,0,6,326,1,-1,0
406,58,0,6,393,1,-1,0
407,46,1927,6,241,3,-1,0
408,38,284,6,483,1,-1,0
409,46,1660,6,259,1,-1,0
410,32,406,6,227,1,-1,0
411,51,230,6,673,1,-1,0
412,39,-25,6,576,1,-1,0
413,48,182,6,180,2,-1,0
414,36,1169,6,168,2,-1,0
415,34,67,6,90,1,-1,0
416,40,77,6,505,1,-1,0
417,43,0,6,245,1,-1,0
418,52,55,6,186,1,-1,0
419,33,72,6,623,1,-1,0
420,49,163,6,496,3,-1,0
421,32,151,6,118,1,-1,0
422,39,113,6,342,1,-1,0
423,40,0,6,225,1,-1,0
424,38,9,6,185,3,-1,0
425,43,375,6,196,2,-1,0
426,39,1142,6,276,1,-1,0
427,54,2102,6,76,1,-1,0
428,38,4325,6,87,1,-1,0
429,40,217,6,195,1,-1,0
430,55,131,6,744,1,-1,0
431,42,1680,6,765,1,-1,0
432,39,0,6,262,1,-1,0
433,40,46,6,119,1,-1,0
434,32,320,6,198,2,-1,0
435,55,183,6,150,1,-1,0
436,45,39,6,241,1,-1,0
437,35,560,6,181,1,-1,0
438,58,469,6,196,1,-1,0
439,35,530,6,149,1,-1,0
440,49,61,6,246,1,-1,0
441,34,242,6,112,1,-1,0
442,36,139,6,309,2,-1,0
443,24,0,6,278,1,-1,0
444,34,367,6,140,1,-1,0
445,51,228,6,136,1,-1,0
446,39,45248,6,1623,1,-1,0
447,50,-84,6,101,1,-1,0
448,32,310,6,144,1,-1,0
449,42,132,6,238,1,-1,0
450,50,797,6,354,1,-1,0
451,40,71,6,79,1,-1,0
452,46,2,6,187,1,-1,0
453,37,231,6,451,2,-1,0
454,34,270,6,159,1,-1,0
455,44,274,6,409,1,-1,0
456,40,-109,6,170,1,-1,0
457,37,1,6,608,1,-1,0
458,33,-60,6,243,1,-1,0
459,35,89,6,145,2,-1,0
460,58,-11,6,112,1,-1,0
461,39,0,6,262,2,-1,0
462,43,-509,6,124,1,-1,0
463,39,408,6,53,1,-1,0
464,36,58,6,134,1,-1,0
465,57,1640,6,204,4,-1,0
466,36,20,6,186,1,-1,0
467,50,71,6,678,1,-1,0
468,55,52,6,182,1,-1,0
469,44,292,6,162,1,-1,0
470,44,424,6,27,1,-1,0
471,39,109,6,699,3,-1,0
472,46,1044,6,43,1,-1,0
473,39,983,6,97,1,-1,0
474,34,869,6,1677,1,-1,0
475,40,668,6,283,2,-1,0
476,50,964,6,323,1,-1,0
477,31,301,6,82,1,-1,0
478,37,140,6,310,1,-1,0
479,39,1877,6,185,1,-1,0
480,51,1127,6,47,1,-1,0
481,41,871,6,145,1,-1,0
482,41,767,6,204,1,-1,0
483,43,0,6,187,1,-1,0
484,30,209,6,30,2,-1,0
485,54,0,6,472,1,-1,0
486,43,110,6,448,1,-1,0
487,59,-76,6,264,1,-1,0
488,47,178,6,169,1,-1,0
489,40,-66,6,288,1,-1,0
490,32,0,6,176,2,-1,0
491,29,1,6,215,1,-1,0
492,36,0,6,337,1,-1,0
493,55,5345,6,278,1,-1,0
494,30,-209,6,188,2,-1,0
495,39,0,6,174,2,-1,0
496,39,42,6,226,2,-1,0
497,50,41,6,190,1,-1,0
498,44,-99,6,111,2,-1,0
499,37,17,6,164,1,-1,0
500,46,276,6,157,2,-1,0
501,32,-170,6,46,1,-1,0
502,37,230,6,374,1,-1,0
503,29,9,6,349,1,-1,0
504,41,946,6,325,1,-1,0
505,45,1297,6,233,2,-1,0
506,57,-331,6,531,1,-1,0
507,48,44,6,153,1,-1,0
508,60,15,6,80,1,-1,0
509,26,712,6,232,1,-1,0
510,58,5435,6,118,1,-1,0
511,34,507,6,190,1,-1,0
512,55,387,6,918,1,-1,0
513,41,0,6,238,1,-1,0
514,50,1716,6,82,1,-1,0
515,49,167,6,198,3,-1,0
516,44,40,6,160,2,-1,0
517,44,148,6,211,1,-1,0
518,31,17,6,120,1,-1,0
519,34,1011,6,136,1,-1,0
520,46,1527,6,269,1,-1,0
521,42,744,6,157,1,-1,0
522,52,484,6,128,1,-1,0
523,29,0,6,211,1,-1,0
524,53,136,6,267,2,-1,0
525,43,1335,6,371,2,-1,0
526,38,517,6,288,2,-1,0
527,46,459,6,221,1,-1,0
528,48,549,6,427,1,-1,0
529,30,83,6,310,1,-1,0
530,44,213,6,158,1,-1,0
531,31,203,6,604,3,-1,0
532,42,518,6,198,1,-1,0
533,40,3877,6,145,1,-1,0
534,52,1236,6,247,1,-1,0
535,45,756,6,179,2,-1,0
536,48,157,6,73,1,-1,0
537,45,-66,6,263,2,-1,0
538,34,245,6,13,1,-1,0
539,34,-144,6,79,2,-1,0
540,46,71,6,416,1,-1,0
541,49,505,6,162,1,-1,0
542,50,249,6,129,1,-1,0
543,34,0,6,150,1,-1,0
544,40,11,6,43,1,-1,0
545,36,639,6,191,1,-1,0
546,59,124,6,26,1,-1,0
547,45,82,6,250,1,-1,0
548,36,107,6,146,1,-1,0
549,56,473,6,416,1,-1,0
550,42,372,6,121,2,-1,0
551,30,46,6,114,2,-1,0
552,30,34,6,289,1,-1,0
553,47,935,6,225,1,-1,0
554,33,-10,6,123,1,-1,0
555,36,-106,6,130,2,-1,0
556,39,471,6,161,2,-1,0
557,56,778,6,149,2,-1,0
558,39,170,6,268,2,-1,0
559,42,315,6,259,2,-1,0
560,52,3165,6,26,1,-1,0
561,36,131,6,153,1,-1,0
562,35,204,6,424,2,-1,0
563,47,83,6,179,2,-1,0
564,59,0,6,97,1,-1,0
565,57,5431,6,383,1,-1,0
566,38,1759,6,440,1,-1,0
567,46,-125,6,23,1,-1,0
568,34,0,6,195,1,-1,0
569,28,5090,6,1297,3,-1,0
570,38,573,6,87,1,-1,0
571,56,1602,6,427,1,-1,0
572,41,-137,6,189,1,-1,0
573,52,0,6,195,1,-1,0
574,54,193,6,179,1,-1,0
575,61,195,6,179,1,-1,0
576,53,288,6,69,1,-1,0
577,47,19,6,105,2,-1,0
578,53,25,6,266,3,-1,0
579,46,216,6,524,2,-1,0
580,39,190,6,96,2,-1,0
581,56,99,6,155,2,-1,0
582,55,2298,6,162,2,-1,0
583,44,17,6,352,2,-1,0
584,37,0,6,76,4,-1,0
585,35,0,6,154,2,-1,0
586,55,840,6,310,2,-1,0
587,37,358,6,390,3,-1,0
588,30,0,6,369,1,-1,0
589,37,-325,6,112,2,-1,0
590,36,-15,6,341,3,-1,0
591,38,581,6,79,1,-1,0
592,41,4070,6,140,2,-1,0
593,48,74,6,315,1,-1,0
594,55,141,6,262,2,-1,0
595,28,89,6,174,2,-1,0
596,54,0,6,138,3,-1,0
597,30,450,6,526,2,-1,0
598,48,310,6,135,1,-1,0
599,31,0,6,36,5,-1,0
600,38,384,6,1906,3,-1,0
601,37,395,6,219,2,-1,0
602,37,-118,6,147,2,-1,0
603,56,5,6,407,2,-1,0
604,51,50,6,121,1,-1,0
605,39,285,6,209,1,-1,0
606,49,15,6,92,2,-1,0
607,51,653,6,208,1,-1,0
608,43,918,6,193,1,-1,0
609,32,243,6,144,1,-1,0
610,29,405,6,65,1,-1,0
611,48,1328,6,339,1,-1,0
612,55,255,6,285,1,-1,0
613,53,3397,6,231,1,-1,0
614,47,2106,6,168,1,-1,0
615,39,2877,6,278,1,-1,0
616,31,60,6,389,1,-1,0
617,39,2226,6,158,1,-1,0
618,40,2880,6,145,2,-1,0
619,40,-5,6,78,2,-1,0
620,48,147,6,142,3,-1,0
621,33,7,6,87,1,-1,0
622,40,109,6,147,2,-1,0
623,59,-119,6,289,1,-1,0
624,30,484,6,703,1,-1,0
625,31,1852,6,170,3,-1,0
626,35,533,6,802,1,-1,0
627,54,21,6,381,2,-1,0
628,34,2434,6,218,4,-1,0
629,32,90,6,57,2,-1,0
630,56,4246,6,304,2,-1,0
631,32,395,6,241,3,-1,0
632,42,15,6,230,1,-1,0
633,33,85,6,262,3,-1,0
634,52,-184,6,392,2,-1,0
635,52,660,6,201,2,-1,0
636,52,-183,6,145,1,-1,0
637,30,1144,6,252,1,-1,0
638,44,1,6,235,4,-1,0
639,35,69,6,235,2,-1,0
640,55,220,6,328,2,-1,0
641,33,332,6,116,2,-1,0
642,37,240,6,246,1,-1,0
643,42,0,6,293,1,-1,0
644,43,0,6,37,2,-1,0
645,38,898,6,132,2,-1,0
646,37,123,6,530,2,-1,0
647,31,252,6,175,3,-1,0
648,41,65,6,524,2,-1,0
649,41,-366,6,29,3,-1,0
650,29,209,6,311,2,-1,0
651,38,221,6,211,2,-1,0
652,44,4,6,312,3,-1,0
653,39,104,6,412,1,-1,0
654,28,312,6,392,1,-1,0
655,33,-349,6,191,1,-1,0
656,41,4,6,284,2,-1,0
657,40,-322,6,144,1,-1,0
658,29,-150,6,328,1,-1,0
659,38,1349,6,100,1,-1,0
660,32,281,6,226,1,-1,0
661,45,1259,6,507,1,-1,0
662,33,101,6,392,1,-1,0
663,34,848,6,684,2,-1,0
664,41,89,6,333,2,-1,0
665,41,140,6,311,3,-1,0
666,35,148,6,128,2,-1,0
667,40,200,6,322,2,-1,0
668,60,46,6,202,4,-1,0
669,47,201,6,92,2,-1,0
670,46,530,6,739,3,-1,0
671,31,0,6,273,2,-1,0
672,49,1,6,260,3,-1,0
673,29,43,6,268,2,-1,0
674,31,-173,6,396,2,-1,0
675,38,389,6,262,1,-1,0
676,37,215,6,308,3,-1,0
677,35,-131,6,467,2,-1,0
678,31,783,6,320,1,-1,0
679,41,0,6,160,3,-1,0
680,46,80,6,245,2,-1,0
681,40,105,6,189,2,-1,0
682,29,182,6,477,1,-1,0
683,49,82,6,310,1,-1,0
684,42,0,6,65,3,-1,0
685,54,510,6,196,2,-1,0
686,40,242,6,221,2,-1,0
687,53,244,6,197,2,-1,0
688,49,92,6,221,2,-1,0
689,40,0,6,64,2,-1,0
690,29,948,6,75,2,-1,0
691,36,23,6,400,2,-1,0
692,37,710,6,378,3,-1,0
693,39,1205,6,118,2,-1,0
694,36,368,6,1597,2,-1,0
695,44,1631,6,346,2,-1,0
696,40,6,6,60,3,-1,0
697,49,26,6,276,2,-1,0
698,30,-48,6,152,2,-1,0
699,57,2142,6,251,3,-1,0
700,24,77,6,390,2,-1,0
701,46,401,6,306,2,-1,0
702,33,21,6,189,3,-1,0
703,43,0,6,125,2,-1,0
704,43,-497,6,234,2,-1,0
705,40,369,6,79,2,-1,0
706,44,78,6,13,6,-1,0
707,35,226,6,283,3,-1,0
708,47,503,6,109,2,-1,0
709,33,372,6,132,2,-1,0
710,31,0,6,144,2,-1,0
711,40,0,6,121,2,-1,0
712,36,125,6,95,3,-1,0
713,56,4,6,31,3,-1,0
714,40,419,6,112,3,-1,0
715,41,322,6,87,4,-1,0
716,53,303,6,593,2,-1,0
717,39,607,6,99,2,-1,0
718,44,579,6,198,2,-1,0
719,38,3047,6,285,2,-1,0
720,54,83,6,190,3,-1,0
721,58,68,6,172,5,-1,0
722,52,58,6,213,3,-1,0
723,28,251,6,178,2,-1,0
724,36,688,6,174,2,-1,0
725,60,364,6,631,2,-1,0
726,42,55,6,176,5,-1,0
727,42,101,6,32,3,-1,0
728,44,105,6,1529,2,-1,0
729,51,325,6,254,2,-1,0
730,49,198,6,200,2,-1,0
731,47,209,6,135,2,-1,0
732,37,183,6,112,4,-1,0
733,34,105,6,314,3,-1,0
734,35,109,6,597,3,-1,0
735,35,376,6,207,3,-1,0
736,40,-7,6,410,2,-1,0
737,55,0,6,160,3,-1,0
738,55,143,6,42,3,-1,0
739,35,550,6,55,2,-1,0
740,57,162,6,155,2,-1,0
741,53,115,6,336,3,-1,0
742,41,512,6,233,2,-1,0
743,57,807,6,211,2,-1,0
744,45,248,6,88,5,-1,0
745,43,1211,6,208,3,-1,0
746,56,7,6,305,2,-1,0
747,31,281,6,206,2,-1,0
748,37,88,6,128,2,-1,0
749,30,32,6,122,3,-1,0
750,30,115,6,66,3,-1,0
751,54,254,6,66,2,-1,0
752,36,144,6,164,2,-1,0
753,55,383,6,343,3,-1,0
754,37,569,6,126,2,-1,0
755,38,0,6,59,3,-1,0
756,48,3754,6,249,3,-1,0
757,55,6920,6,406,3,-1,0
758,59,307,6,250,7,-1,0
759,37,-421,6,183,5,-1,0
760,33,60,6,190,3,-1,0
761,44,67,6,220,2,-1,0
762,57,402,6,153,3,-1,0
763,30,800,6,95,2,-1,0
764,42,239,6,191,3,-1,0
765,51,421,6,216,2,-1,0
766,44,161,7,89,2,-1,0
767,46,289,7,51,3,-1,0
768,29,110,7,169,3,-1,0
769,39,245,7,148,3,-1,0
770,42,0,7,132,3,-1,0
771,50,156,7,117,3,-1,0
772,42,0,7,275,4,-1,0
773,39,20,7,124,2,-1,0
774,55,92,7,118,3,-1,0
775,46,89,7,479,2,-1,0
776,42,166,7,285,3,-1,0
777,45,103,7,35,4,-1,0
778,43,-454,7,322,2,-1,0
779,42,445,7,202,2,-1,0
780,30,4,7,172,8,-1,0
781,47,1001,7,201,4,-1,0
782,51,-69,7,216,3,-1,0
783,38,42,7,195,2,-1,0
784,57,1617,7,96,2,-1,0
785,42,221,7,720,2,-1,0
786,32,210,7,188,2,-1,0
787,46,0,7,70,2,-1,0
788,29,185,7,141,3,-1,0
789,59,836,7,106,1,-1,0
790,32,301,7,395,2,-1,0
791,44,503,7,629,2,-1,0
792,40,407,7,502,1,-1,0
793,31,53,7,446,1,-1,0
794,46,2303,7,241,1,-1,0
795,43,144,7,131,3,-1,0
796,34,205,7,312,1,-1,0
797,39,305,7,275,6,-1,0
798,30,251,7,120,2,-1,0
799,56,0,7,333,4,-1,0
800,29,8,7,113,1,-1,0
801,40,139,7,91,1,-1,0
802,36,184,7,128,3,-1,0
803,37,238,7,200,2,-1,0
804,35,0,7,326,1,-1,0
805,35,0,7,292,1,-1,0
806,47,222,7,68,1,-1,0
807,31,414,7,215,1,-1,0
808,56,223,7,97,1,-1,0
809,57,197,7,32,1,-1,0
